GeneID,Sample-SRR2073144,Sample-SRR2073145
__alignment_not_unique,0,0
__ambiguous,94302,60408
__no_feature,15292111,10429812
__not_aligned,0,0
__too_low_aQual,0,0
AT1G01010,85,16
AT1G01020,84,103
AT1G01030,12,0
AT1G01040,546,49
AT1G01046,3,0
AT1G01050,1096,783
AT1G01060,9,2
AT1G01070,903,1196
AT1G01073,0,0
AT1G01080,444,325
AT1G01090,2528,1057
AT1G01100,13202,19069
AT1G01110,243,71
AT1G01115,0,0
AT1G01120,245,252
AT1G01130,124,31
AT1G01140,204,44
AT1G01150,135,11
AT1G01160,891,421
AT1G01170,744,880
AT1G01180,1,0
AT1G01183,2,0
AT1G01190,71,4
AT1G01200,42,18
AT1G01210,236,404
AT1G01220,412,88
AT1G01225,86,78
AT1G01230,419,280
AT1G01240,165,113
AT1G01250,4,0
AT1G01260,397,23
AT1G01270,0,0
AT1G01280,0,0
AT1G01290,244,209
AT1G01300,4294,2539
AT1G01305,0,0
AT1G01310,9,0
AT1G01320,1690,623
AT1G01340,12,0
AT1G01350,351,158
AT1G01355,0,0
AT1G01360,85,51
AT1G01370,494,536
AT1G01380,39,11
AT1G01390,3,13
AT1G01400,0,0
AT1G01410,0,0
AT1G01420,0,24
AT1G01430,296,166
AT1G01440,234,65
AT1G01448,67,36
AT1G01450,36,11
AT1G01453,0,0
AT1G01460,0,0
AT1G01470,177,293
AT1G01471,0,0
AT1G01480,0,0
AT1G01490,489,114
AT1G01500,24,10
AT1G01510,1577,682
AT1G01520,0,0
AT1G01530,0,15
AT1G01540,904,453
AT1G01550,1466,739
AT1G01560,2,0
AT1G01570,24,34
AT1G01580,0,0
AT1G01590,1,0
AT1G01600,120,4
AT1G01610,776,268
AT1G01620,9739,8531
AT1G01630,388,137
AT1G01640,12,1
AT1G01650,576,273
AT1G01660,0,0
AT1G01670,58,0
AT1G01680,3,0
AT1G01690,452,95
AT1G01695,0,2
AT1G01700,17,3
AT1G01710,439,176
AT1G01720,115,63
AT1G01725,70,140
AT1G01730,783,492
AT1G01740,38,1
AT1G01750,5,0
AT1G01760,40,9
AT1G01770,81,61
AT1G01780,6,0
AT1G01790,421,197
AT1G01800,818,503
AT1G01810,27,24
AT1G01820,740,481
AT1G01830,590,239
AT1G01840,62,2
AT1G01860,66,28
AT1G01870,0,0
AT1G01880,175,49
AT1G01890,0,0
AT1G01900,127,160
AT1G01910,1122,691
AT1G01920,319,171
AT1G01930,220,36
AT1G01940,507,424
AT1G01950,451,94
AT1G01960,2735,555
AT1G01970,231,150
AT1G01980,31,1
AT1G01990,319,138
AT1G02000,191,82
AT1G02010,48,2
AT1G02020,135,131
AT1G02030,4,0
AT1G02040,4,0
AT1G02050,98,4
AT1G02060,202,72
AT1G02065,46,4
AT1G02070,35,73
AT1G02074,2,0
AT1G02080,2464,574
AT1G02090,1194,566
AT1G02100,521,282
AT1G02110,1265,389
AT1G02120,698,120
AT1G02130,1143,758
AT1G02136,0,0
AT1G02140,4276,2816
AT1G02145,443,368
AT1G02150,908,352
AT1G02160,448,625
AT1G02170,249,61
AT1G02180,308,231
AT1G02190,181,21
AT1G02205,106,48
AT1G02210,0,0
AT1G02220,0,0
AT1G02228,0,0
AT1G02230,29,56
AT1G02250,3,0
AT1G02260,190,46
AT1G02270,313,117
AT1G02280,1059,722
AT1G02290,536,202
AT1G02300,10,37
AT1G02305,646,508
AT1G02310,0,0
AT1G02320,0,0
AT1G02330,608,183
AT1G02335,35,10
AT1G02340,0,0
AT1G02350,11,1
AT1G02360,1,0
AT1G02370,466,153
AT1G02380,89,28
AT1G02390,0,1
AT1G02391,0,0
AT1G02400,75,0
AT1G02405,0,0
AT1G02410,335,167
AT1G02420,189,87
AT1G02430,45,4
AT1G02440,6,0
AT1G02450,75,12
AT1G02460,8,0
AT1G02470,0,1
AT1G02475,129,25
AT1G02480,0,0
AT1G02490,13,34
AT1G02500,3860,3147
AT1G02510,2,0
AT1G02520,67,0
AT1G02530,63,0
AT1G02540,0,0
AT1G02550,0,0
AT1G02560,2395,1109
AT1G02570,0,0
AT1G02575,0,0
AT1G02580,1,0
AT1G02590,0,0
AT1G02600,0,0
AT1G02610,1,0
AT1G02620,0,0
AT1G02630,53,53
AT1G02640,647,267
AT1G02650,24,0
AT1G02660,118,46
AT1G02670,48,0
AT1G02680,255,79
AT1G02681,0,0
AT1G02690,1806,554
AT1G02700,0,1
AT1G02710,10,0
AT1G02720,407,174
AT1G02730,7514,2618
AT1G02740,182,132
AT1G02750,91,189
AT1G02760,0,0
AT1G02770,0,0
AT1G02780,27563,19747
AT1G02790,16,0
AT1G02800,1406,568
AT1G02810,72,0
AT1G02813,2,1
AT1G02816,119,345
AT1G02820,0,2
AT1G02830,0,0
AT1G02840,2849,1668
AT1G02850,7,0
AT1G02860,45,4
AT1G02870,814,530
AT1G02880,91,102
AT1G02890,995,262
AT1G02900,84,93
AT1G02910,283,108
AT1G02920,86,89
AT1G02930,355,589
AT1G02940,2,0
AT1G02950,41,62
AT1G02952,19,40
AT1G02960,153,22
AT1G02965,2,0
AT1G02970,444,156
AT1G02980,1,0
AT1G02990,412,144
AT1G03000,342,100
AT1G03010,0,0
AT1G03020,0,0
AT1G03022,0,0
AT1G03030,328,241
AT1G03040,1237,629
AT1G03050,0,0
AT1G03055,2,1
AT1G03060,1561,321
AT1G03070,6,9
AT1G03080,1053,160
AT1G03090,337,49
AT1G03100,188,61
AT1G03103,0,0
AT1G03106,0,3
AT1G03110,907,514
AT1G03120,5,0
AT1G03130,739,262
AT1G03140,1509,728
AT1G03150,253,372
AT1G03160,338,57
AT1G03170,107,39
AT1G03180,83,21
AT1G03190,345,72
AT1G03200,9,0
AT1G03210,182,110
AT1G03220,844,629
AT1G03230,1200,731
AT1G03240,27,0
AT1G03250,464,239
AT1G03260,128,22
AT1G03270,87,34
AT1G03280,592,136
AT1G03290,381,131
AT1G03300,75,7
AT1G03310,474,240
AT1G03320,0,0
AT1G03330,1292,2291
AT1G03340,0,0
AT1G03350,1069,417
AT1G03360,548,507
AT1G03365,510,147
AT1G03370,478,54
AT1G03380,327,71
AT1G03390,0,1
AT1G03400,50,3
AT1G03410,1215,1868
AT1G03420,1137,1984
AT1G03430,270,226
AT1G03440,94,29
AT1G03445,0,0
AT1G03457,422,166
AT1G03470,322,265
AT1G03475,1686,741
AT1G03490,0,0
AT1G03495,86,143
AT1G03502,1,0
AT1G03506,0,0
AT1G03510,51,39
AT1G03515,0,0
AT1G03520,59,46
AT1G03530,1025,218
AT1G03540,82,0
AT1G03545,54,41
AT1G03550,45,16
AT1G03560,224,40
AT1G03570,0,0
AT1G03580,0,0
AT1G03590,653,249
AT1G03600,948,742
AT1G03610,266,125
AT1G03620,27,1
AT1G03630,422,192
AT1G03640,0,0
AT1G03650,33,77
AT1G03660,0,0
AT1G03670,0,0
AT1G03680,748,483
AT1G03687,310,176
AT1G03700,0,0
AT1G03710,70,55
AT1G03720,0,0
AT1G03730,201,244
AT1G03740,287,39
AT1G03743,0,0
AT1G03746,0,0
AT1G03750,128,23
AT1G03760,356,150
AT1G03770,144,15
AT1G03780,1115,134
AT1G03790,0,0
AT1G03800,6,0
AT1G03810,0,0
AT1G03820,240,91
AT1G03830,804,282
AT1G03840,4,1
AT1G03850,1,14
AT1G03860,2145,1014
AT1G03870,119,41
AT1G03880,1,18
AT1G03890,0,1
AT1G03900,964,957
AT1G03905,48,0
AT1G03910,1132,352
AT1G03920,5,0
AT1G03930,191,64
AT1G03935,1,1
AT1G03940,102,154
AT1G03950,62,20
AT1G03960,224,71
AT1G03970,347,104
AT1G03980,277,44
AT1G03982,0,0
AT1G03990,22,0
AT1G04000,330,96
AT1G04010,222,68
AT1G04020,661,278
AT1G04030,531,75
AT1G04040,720,213
AT1G04050,530,178
AT1G04070,589,701
AT1G04080,3163,1040
AT1G04090,15,0
AT1G04100,57,21
AT1G04110,44,1
AT1G04120,1810,648
AT1G04130,264,73
AT1G04140,1533,549
AT1G04150,397,25
AT1G04160,183,34
AT1G04170,3649,1664
AT1G04171,0,0
AT1G04180,0,0
AT1G04190,1171,710
AT1G04200,391,183
AT1G04210,1478,478
AT1G04220,195,74
AT1G04230,291,149
AT1G04240,124,38
AT1G04250,156,187
AT1G04260,453,290
AT1G04270,19113,26295
AT1G04280,281,85
AT1G04290,231,273
AT1G04295,213,267
AT1G04300,867,139
AT1G04310,338,242
AT1G04320,0,0
AT1G04330,13,0
AT1G04340,1124,1604
AT1G04350,20,1
AT1G04360,47,34
AT1G04370,0,0
AT1G04380,11,1
AT1G04390,149,99
AT1G04400,1400,703
AT1G04410,17220,12548
AT1G04420,223,132
AT1G04425,376,170
AT1G04430,1932,819
AT1G04440,580,128
AT1G04445,0,0
AT1G04450,0,0
AT1G04457,15,15
AT1G04470,0,0
AT1G04480,5186,7490
AT1G04490,7,0
AT1G04500,0,0
AT1G04501,0,0
AT1G04510,2218,826
AT1G04520,2342,1621
AT1G04530,1107,476
AT1G04540,63,1
AT1G04550,1060,772
AT1G04555,34,20
AT1G04560,0,3
AT1G04570,23,2
AT1G04580,0,1
AT1G04590,591,359
AT1G04600,42,1
AT1G04610,4,0
AT1G04620,503,55
AT1G04625,0,0
AT1G04630,811,828
AT1G04635,211,191
AT1G04640,229,270
AT1G04645,0,1
AT1G04650,306,63
AT1G04660,6,3
AT1G04670,1,0
AT1G04680,2208,1238
AT1G04684,0,0
AT1G04690,2454,2037
AT1G04700,78,51
AT1G04710,143,89
AT1G04720,0,0
AT1G04730,223,80
AT1G04750,2647,2340
AT1G04760,211,112
AT1G04770,353,165
AT1G04778,8,26
AT1G04780,930,208
AT1G04790,579,263
AT1G04800,18,7
AT1G04810,1635,376
AT1G04820,21131,13250
AT1G04830,229,106
AT1G04840,59,2
AT1G04850,1423,442
AT1G04860,735,169
AT1G04870,1387,713
AT1G04880,68,6
AT1G04890,0,0
AT1G04900,347,183
AT1G04910,491,148
AT1G04920,2,0
AT1G04930,134,41
AT1G04940,21,0
AT1G04945,318,55
AT1G04950,487,235
AT1G04960,236,153
AT1G04970,309,35
AT1G04980,521,272
AT1G04985,231,18
AT1G04990,219,91
AT1G05000,15,6
AT1G05010,260,223
AT1G05020,2,0
AT1G05030,63,9
AT1G05040,0,0
AT1G05055,518,291
AT1G05060,132,123
AT1G05061,5,0
AT1G05065,33,23
AT1G05070,272,101
AT1G05080,0,0
AT1G05085,1,0
AT1G05090,262,112
AT1G05100,20,0
AT1G05120,710,248
AT1G05135,148,66
AT1G05136,0,0
AT1G05140,328,315
AT1G05150,1761,745
AT1G05160,151,18
AT1G05170,40,7
AT1G05180,979,400
AT1G05190,2319,2534
AT1G05200,54,69
AT1G05205,482,623
AT1G05210,291,257
AT1G05220,42,49
AT1G05230,452,198
AT1G05240,0,0
AT1G05250,0,0
AT1G05260,20,43
AT1G05270,315,49
AT1G05280,0,0
AT1G05290,0,0
AT1G05291,0,0
AT1G05300,228,131
AT1G05310,2,1
AT1G05320,417,52
AT1G05330,2,0
AT1G05340,4,22
AT1G05350,538,150
AT1G05360,267,70
AT1G05370,109,35
AT1G05380,907,101
AT1G05385,96,3
AT1G05390,0,0
AT1G05400,3,0
AT1G05410,394,343
AT1G05420,40,6
AT1G05430,579,325
AT1G05440,644,236
AT1G05450,3,0
AT1G05460,921,109
AT1G05470,873,195
AT1G05490,637,171
AT1G05500,1249,513
AT1G05510,0,13
AT1G05520,1300,310
AT1G05530,3,5
AT1G05540,5,0
AT1G05550,0,0
AT1G05560,185,60
AT1G05562,153,37
AT1G05570,1519,476
AT1G05575,0,1
AT1G05577,0,0
AT1G05580,0,0
AT1G05590,532,173
AT1G05600,156,93
AT1G05610,3,0
AT1G05615,0,0
AT1G05620,392,143
AT1G05630,346,122
AT1G05640,212,100
AT1G05650,0,0
AT1G05660,0,0
AT1G05670,107,92
AT1G05675,0,0
AT1G05680,0,2
AT1G05690,4,1
AT1G05700,17,0
AT1G05710,936,494
AT1G05720,724,669
AT1G05730,381,320
AT1G05740,0,0
AT1G05750,219,40
AT1G05760,33,12
AT1G05770,4,25
AT1G05780,15,15
AT1G05785,156,50
AT1G05790,177,18
AT1G05800,0,0
AT1G05805,397,148
AT1G05810,33,22
AT1G05820,16,0
AT1G05830,401,72
AT1G05835,607,688
AT1G05840,249,83
AT1G05850,4193,2418
AT1G05860,253,38
AT1G05870,267,177
AT1G05880,0,0
AT1G05890,695,178
AT1G05894,14,0
AT1G05900,23,0
AT1G05910,1208,200
AT1G05920,0,0
AT1G05925,0,0
AT1G05930,0,0
AT1G05940,351,124
AT1G05950,340,21
AT1G05960,620,260
AT1G05970,312,457
AT1G05980,0,0
AT1G05990,3,0
AT1G06000,887,387
AT1G06002,564,205
AT1G06010,410,201
AT1G06020,0,6
AT1G06030,7,4
AT1G06040,989,363
AT1G06050,73,12
AT1G06060,307,86
AT1G06070,607,99
AT1G06080,765,763
AT1G06090,133,140
AT1G06100,26,20
AT1G06110,503,351
AT1G06120,14,45
AT1G06130,430,128
AT1G06135,0,0
AT1G06137,0,0
AT1G06140,84,1
AT1G06148,0,0
AT1G06149,0,0
AT1G06150,87,36
AT1G06160,2,1
AT1G06170,4,1
AT1G06180,212,124
AT1G06190,887,290
AT1G06200,1211,706
AT1G06210,1008,295
AT1G06220,2068,853
AT1G06225,0,0
AT1G06230,2117,589
AT1G06240,152,29
AT1G06250,13,4
AT1G06260,15,0
AT1G06265,35,31
AT1G06270,176,131
AT1G06280,0,0
AT1G06290,644,136
AT1G06310,36,1
AT1G06320,0,0
AT1G06330,0,0
AT1G06340,0,0
AT1G06350,43,50
AT1G06360,297,291
AT1G06370,7,2
AT1G06380,364,165
AT1G06390,917,164
AT1G06400,742,329
AT1G06410,2903,964
AT1G06420,422,130
AT1G06430,178,50
AT1G06440,104,116
AT1G06450,217,66
AT1G06460,376,163
AT1G06470,519,143
AT1G06475,93,85
AT1G06480,0,0
AT1G06490,88,32
AT1G06500,447,310
AT1G06510,187,75
AT1G06515,368,336
AT1G06520,88,57
AT1G06530,1109,413
AT1G06540,1,0
AT1G06550,636,204
AT1G06560,352,76
AT1G06570,34,0
AT1G06580,68,29
AT1G06590,502,270
AT1G06610,0,0
AT1G06620,45,58
AT1G06630,296,460
AT1G06640,641,691
AT1G06645,15,1
AT1G06650,111,12
AT1G06660,507,108
AT1G06670,1682,601
AT1G06680,5862,3860
AT1G06690,66,3
AT1G06700,821,676
AT1G06710,184,60
AT1G06720,1478,237
AT1G06730,358,173
AT1G06740,329,178
AT1G06750,8,1
AT1G06760,10132,4167
AT1G06770,147,26
AT1G06780,231,32
AT1G06790,369,481
AT1G06800,180,106
AT1G06810,0,0
AT1G06820,225,125
AT1G06830,209,499
AT1G06840,256,193
AT1G06850,238,60
AT1G06860,0,0
AT1G06870,473,136
AT1G06880,0,0
AT1G06890,1391,544
AT1G06900,925,263
AT1G06910,130,51
AT1G06920,0,0
AT1G06923,0,0
AT1G06925,0,0
AT1G06930,6,0
AT1G06950,3730,989
AT1G06960,365,140
AT1G06970,0,0
AT1G06980,19,18
AT1G06990,1,0
AT1G07000,112,14
AT1G07010,85,15
AT1G07020,438,495
AT1G07025,0,0
AT1G07030,453,473
AT1G07040,295,191
AT1G07050,29,1
AT1G07051,0,0
AT1G07060,8,0
AT1G07070,1052,1150
AT1G07080,1000,511
AT1G07090,290,198
AT1G07100,0,0
AT1G07110,456,252
AT1G07119,73,6
AT1G07120,65,8
AT1G07128,72,19
AT1G07130,85,27
AT1G07135,49,120
AT1G07140,3686,1928
AT1G07150,6,1
AT1G07160,0,0
AT1G07170,434,844
AT1G07175,13,0
AT1G07180,3,5
AT1G07190,0,0
AT1G07200,614,70
AT1G07210,1839,1217
AT1G07220,398,188
AT1G07230,696,268
AT1G07240,163,99
AT1G07250,307,136
AT1G07260,206,73
AT1G07270,78,58
AT1G07280,406,99
AT1G07290,23,1
AT1G07300,17,10
AT1G07310,528,278
AT1G07320,2346,1755
AT1G07330,0,0
AT1G07340,1,0
AT1G07350,327,216
AT1G07360,1246,272
AT1G07370,2949,2592
AT1G07380,152,20
AT1G07390,91,47
AT1G07400,31,1
AT1G07410,69,62
AT1G07420,986,587
AT1G07430,19,0
AT1G07440,21,2
AT1G07450,0,0
AT1G07460,0,0
AT1G07470,539,140
AT1G07473,0,0
AT1G07476,0,0
AT1G07480,532,214
AT1G07485,24,22
AT1G07490,12,8
AT1G07500,0,0
AT1G07510,1066,305
AT1G07520,92,77
AT1G07530,549,321
AT1G07540,0,0
AT1G07550,0,0
AT1G07560,0,0
AT1G07570,304,229
AT1G07580,0,0
AT1G07590,713,1482
AT1G07600,0,0
AT1G07610,122,396
AT1G07615,304,117
AT1G07620,0,0
AT1G07630,173,48
AT1G07640,220,35
AT1G07645,0,0
AT1G07650,260,88
AT1G07660,2083,1530
AT1G07670,2358,895
AT1G07680,0,0
AT1G07690,0,0
AT1G07700,201,271
AT1G07702,99,0
AT1G07705,784,345
AT1G07710,12,0
AT1G07720,90,74
AT1G07725,145,94
AT1G07728,175,47
AT1G07730,0,0
AT1G07740,155,5
AT1G07745,7,0
AT1G07747,0,0
AT1G07750,770,574
AT1G07760,0,0
AT1G07770,8217,14600
AT1G07780,2303,3498
AT1G07790,5560,2117
AT1G07795,0,0
AT1G07800,0,0
AT1G07810,1701,469
AT1G07820,6229,4825
AT1G07830,674,760
